,Train AUC,Test AUC
0,1.0,0.9977973568281938
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,0.9999970667605304,1.0
Mean,0.999999413352106,0.9995594713656388
Std,1.1732957878596295e-06,0.0008810572687224739
